M,n_tasks,algorithm,run,cvr_mean,robust_util_total_mean,util_total_mean,time_mean_ms,time_std_ms,time_p99_ms,time_max_ms,timeout_rate
10,100,Std-LNS,18,0.12623075,0.930915729656699,0.455581149622031,6.993532363092513,6.600564624583582,125.78033407218756,129.43680002354083,1.0
10,100,DG,19,0.0349736666666667,0.8486836969815531,0.4105211391810509,2.164835983887315,0.0318526302021402,0.2585388743318618,0.2723000943660736,0.0
10,100,EPD-FF,19,0.0513493333333333,0.8012132467514056,0.4098380480396851,2.3610719880089164,0.0569202260683915,0.5659251147881151,0.5981000140309334,0.0
10,100,RA-LNS,19,0.02210075,0.8423377785142754,0.4136950471781563,7.953137990552918,6.248599859739144,122.85545911639932,128.49440006539226,1.0
10,100,RG,19,0.0370383333333332,0.838549736635019,0.4122486808279058,2.4430390032939613,0.0783604586199502,0.7261351705528797,0.7394999265670776,0.0
10,100,Std-LNS,19,0.11510075,0.8423377785142754,0.4136950471781563,7.555481091025271,6.248599859739144,122.85545911639932,128.49440006539226,1.0
10,100,DG,20,0.1226536666666667,0.9648114723659976,0.4633875555972186,2.160578992217779,0.0298263633149648,0.2584941033273936,0.2677999436855316,0.0
10,100,EPD-FF,20,0.0781093333333332,0.9425743228097564,0.4629151041449471,2.435269004665315,0.1011942825958208,0.7464209804311396,0.7584001868963242,0.0
10,100,RA-LNS,20,0.0455582499999999,0.9584879771712618,0.4677219745555166,5.807825999800116,5.02745276567839,124.21694789780304,128.26090003363788,1.0
10,100,RG,20,0.0918183333333333,0.9491654606491544,0.4651571899008655,2.4711979907006025,0.1277569908194379,0.8253598678857099,1.049100188538432,0.0
10,100,Std-LNS,20,0.1385582499999999,0.9584879771712618,0.4677219745555166,5.51743469981011,5.02745276567839,124.21694789780304,128.26090003363788,1.0
10,100,DG,21,0.1392636666666666,0.9734454043378136,0.4707802910512108,2.159274011384696,0.0317862218568022,0.2593519887886946,0.3436999395489692,0.0
10,100,EPD-FF,21,0.0816593333333332,0.9475181473113216,0.4714682517218114,2.411920994520188,0.0865546284215367,0.8290970232337714,0.8584999013692141,0.0
10,100,RA-LNS,21,0.0472157499999999,0.9684804217011594,0.4751816633144589,5.83178999600932,4.988981676096018,118.87230197899048,130.02979988232255,1.0
10,100,RG,21,0.1001083333333333,0.9602360800754398,0.4733571632965235,2.4398510162718594,0.0813423109198353,0.6883570994250489,0.9216999169439076,0.0
10,100,Std-LNS,21,0.1402157499999999,0.9684804217011594,0.4751816633144589,5.540200496208854,4.988981676096018,118.87230197899048,130.02979988232255,1.0
10,100,DG,22,0.1999736666666667,1.0184386637973175,0.4903525971609802,2.1550710131414235,0.0198974718162795,0.2315889019519091,0.2503001596778631,0.0
10,100,EPD-FF,22,0.1273993333333332,0.9967680063944172,0.4859133996926313,2.445525993127376,0.0991937158774257,0.7434959360398367,1.020299969241023,0.0
10,100,RA-LNS,22,0.07964325,1.018823328637852,0.4970446498686847,5.202509013470262,4.389862903810445,119.39503200352192,119.92289987392724,1.0
10,100,RG,22,0.1503283333333333,1.002094053695459,0.4932555099034258,2.4391400166787207,0.0753063327251201,0.7191600045189261,0.7251000497490168,0.0
10,100,Std-LNS,22,0.17264325,1.018823328637852,0.4970446498686847,4.942383562796749,4.389862903810445,119.39503200352192,119.92289987392724,1.0
10,100,DG,23,0.1807936666666667,1.00589257481774,0.482406305923775,2.157456006854773,0.0268627093686209,0.2600041148252785,0.2603998873382807,0.0
10,100,EPD-FF,23,0.1056393333333332,0.9816085721660688,0.4853769925371908,2.438516999129206,0.0831248851853139,0.7614420866593721,0.8150998037308455,0.0
